01-NA-000289,UNIV. OF THE EAST (E/HS)-KALOOKAN,ARR,Samson rd.,"Samson Rd., Kalookan City", ,,
01-NF-000114/01-NF-000115,HOLY TRINITY ACADEMY (E/HS),ARR,"Calabash Rd.,","Balic-Balic, Sampaloc, Manila",,Manila,MAPSA
01-NF-000364/01-NF-000365,UNIV. OF THE EAST (E/HS),ARR,C. M. Recto Avenue,"C.M. Recto Ave., Manila", ,,
01-NN-000355,JUBILEE CHRISTIAN ACADEMY,ARR,16 F. Manalo St. (F. Manalo Gate),"Cubao, Quezon City", , ,
01-NA-000056,ESCUELA DE SOPHIA OF CALOOCAN,ARR,"B-31 L-1&2 Narra St., Ph.II,","Rainbow Vill.,Bagumbong,Kalookan City", , ,
01-NF-000321/01-NF-000322,ST. SCHOLASTICA'S COLLEGE (E/HS),ARR,"Leon Guinto Street,","Malate, Manila",OSB,,
01-NA-000262,ST. JOSEPH COLL. OF KALOOKAN,ARR,"Rainbow Village V, Congressional Vill.,","Novaliches, Kalookan City", , ,
01-NF-000069,DON BOSCO SCHOOL OF STA. MESA,ARR,#3500 V. Mapa St. Extension,"Sta. Mesa, Manila",FMA ,,
01-NF-000243,PHIL. CULTURAL HIGH SCHOOL-TONDO,ARR,"#1253 Jose Abad Santos St.,","Tondo, Manila", , ,
01-NA-000206,PHIL. CULTURAL HIGH SCHOOL E/H-KALOOKAN,ARR,# 175 8th Avenue Extension,"Grace Park, Kalookan City", , ,
01-NF-000323/01-NF-000324,ST. STEPHEN'S HIGH SCHOOL (E/HS),ARR,"G. Masangkay St.,","Sta. Cruz, Manila", , ,
01-NF-000366,UNO HIGH SCHOOL  (E/HS),ARR,"#1259 Mayhaligue St.,","Tondo, Manila", , ,
01-NF-000280/01-NF-000281,SAN SEBASTIAN COLLEGE (E/HS),ARR,C. M. Recto Avenue,"C.M. Recto Ave., Manila",,,
01-NN-000753/01-NN-000754,STELLA MARIS COLLEGE (E/HS),ARR,Cambridge Street,"Cubao, Quezon City",FMM,,
01-NF-000205,NAZARETH SCHOOL,ARR,(Formerly Nazareth School),"272 Plaza Sta. Teresita,Sampaloc, Manila",FI,,
01-NA-000157/01-NA-000158,MANILA CENTRAL UNIVERSITY (E/HS),ARR,EDSA,Kalookan City, ,,
01-NA-000100,HOLY REDEEMER SCHOOL (E/HS),ARR,"Lot 7, Franville Subdivision","Camarin, Kalookan City", , ,
01-NF-000300,ST. JOSEPH SCHOOL OF TONDO,ARR,"Juan Luna St.,","Gagalangin, Tondo, Manila", ,,MAPSA
01-NQ-000112,ST. MICHAEL SCHOOL OF CANUMAY,ARR,"Pia Donesa St.,","Bo. Canumay, Valenzuela City", , ,VALAPSA
01-NF-000262,REGINA APOSTOLORUM ACADEMY,ARR,"4700 Valenzuela St.,","Sta. Mesa, Manila", , ,
01-NF-000111,HOLY HEART CHRISTIAN ACADEMY,ARR,"1307 Diokno St., cor","Batangas St.,Sta. Cruz, Manila", , ,
01-NA-000057,ESCUELA SAN GABRIEL DE ARCHANGEL,ARR,"P 9 Pkg. 6, Blk.12 Lot 1","Bagong Silang, Kalookan City", , ,
01-ND-000077,ST. THERESE OF THE CHILD JESUS,ARR,"#22 Adante St., Tañong,","Malabon, Metro Manila", ,,
01-NF-000200,NATIONAL HIGH SCHOOL,ARR,"551 Jocson St.,","Sampaloc, Manila", , ,
01-NA-000011/01-NA-000012,BAESA ADVENTIST ACADEMY (E/HS),ARR,"#8 Baesa Road,",Kaloocan City,SDA - NCR, ,SDA
01-ND-000031,HIGHER GROUND BAPTIST ACAD. FDT. INC.,ARR,"(INT'L BAPTIST ACAD.)#6 Ma. Clara St.,","Acacia Rd.,Malabon, Metro Manila", , ,
01-NA-000069,GENESIS CHRISTIAN ACAD.-BAGONG SILANG,ARR,"Ph. 9, Package 5, Blk 50 Lot 789,","Bagong Silang, Kalookan City", , ,
01-NA-000124,KALOOKAN BETHEL CHRISTIAN SCH.,ARR,504 A. mabini st.,"504 A. Mabini St., Kalookan City", , ,
01-NF-000327,ST. VINCENT LEARNING CTR-SANCHOPANZA,ARR,"536 Sanchopanza St.,","Sampaloc, Manila", , ,
01-NA-000325,NEWLAND CENTER FOR EDUCATION,ARR,"633 La Fortaleza Subd. Camarin,",Caloocan City,,,
01-NA-000245,ST. ANDREW SCHOOL-KALOOKAN (E/H),ARR,"Ninang Virginia, B.F. Homes","Novaliches, Kalookan City", , ,
01-NA-000292,MASTER HANDS LEARNING SCHOOL,ARR,"200 3-C A. Mabini St.,","Maypajo, Kalookan City", , ,
01-NF-000325,ST. VINCENT BLESSED SCHOOL OF MANILA,ARR,"732 Instruccion St.,","Sampaloc, Manila", , ,
01-NF-000284,SHILOH CHRISTIAN ACADEMY,ARR,"C-2 Capulong cor J.P. Rizal Sts.,","Tondo, Manila", , ,
01-NF-000279,SAN RAFAEL PAROCHIAL SCHOOL,ARR,"177 Taliba St., San Rafael Village,","Balut, Tondo, Manila",,Manila,MAPSA
01-NA-000274,ST. THERESE OF AVILA ACADEMY,ARR," B-7 L-1 Ph. 4, Tierra Nova Royal,","Bagumbong, Kalookan City", , ,
01-NA-000208,PLEDGE OF LOVE SCHOOL,ARR,"244 Kabutuhan Rd.,","Deparo, Kalookan City", , ,
01-ND-000001,ACADEMIA DE SAN NICOLAS (ERG),ARR,(Frmly ERG Memorial College),"28 Leano St., Tanong, Malabon, MM", , ,
01-NA-000032,CASA DE SOLEIL CHILD DEV'T CENTER,ARR,"175 Velasco Ext.,","Sangandaan, Kalookan City", , ,
01-NN-000315,IMM. MOTHER SCHOOL-COMMONWEALTH,ARR,# 872 St. Joseph StreetC,"Commonwealth Ave., Quezon City",,,
01-NA-000314,ST. CATHERINE OF SIENA ACADEMY OF NOVA,ARR,"BLK. 22 LOT 33, DOLMAR GOLDEN HILLS","LLANO, CALOOCAN CITY", , ,
01-NF-000344,THE LORD IS MY SHEPHERD LRNG. CTR.,ARR,"2361-B Juan Luna St.,","Gagalangin, Tondo, Manila", , ,
01-NF-000077,EMILIO AGUINALDO EDUC'L CORP. BOOKSTORE,ARR,"1113-1117 San Marcelino St.,","Ermita, Manila", ,,
01-NF-000389,EMILIO AGUINALDO COLLEGE,ARR,"UN Ave. Ermita, Manila",Manila,,,
01-NF-000348/01-NF-000349,TIONG SE ACADEMY  (E),ARR,"708 Sta. Elena St.,","Binondo, Manila", , ,
01-NF-000229/01-NF-000230,PACO CITIZEN ACADEMY (E/HS),ARR,646-650 Paz St.,"Paco, Manila", , ,
01-NA-000243,SILVER LINKS SCHOOL,ARR,"378 Gen. Luis St.,","Novaliches, Kalookan City", , ,
01-NA-000081,GRACELAND CHRISTIAN COLLEGE,ARR,"165 Deparo Rd.,",Kalookan City, , ,
01-NF-000313,ST. PAUL GRADE SCHOOL,ARR,"#1232 Sta. Maria St.,","Tondo, Manila", ,,
01-NA-000110,IMM. MOTHER ACADEMY-CLAMOR BAGOMBONG,ARR,Clamor Compound,"Bagombong, Kalookan City", , ,
01-NA-000113,INSTITUTO DE STO. NINO,ARR,"(Frmly Sto. Nino L.C.)117  Drexel St.,","Univ. Hills Subd., Kalookan City", , ,
01-NF-000358/01-NF-000359,UNIV. OF MANILA (E/HS),ARR,"M. Delos Santos St.,","Sampaloc, Manila", , ,
01-NA-000271,ST. RAPHAELA MARY SCHOOL,ARR,"(Frmly St. Paul Sch.)#63 Road 7,","GSIS Hills,Nova. Kalookan City", , ,
01-NN-000071,BOOK CENTER (OLLSN-HPTC),ARR,c/o Our Lady of Lourdes School,"Zabarte Subd., Novaliches, QC", , ,
01-ND-000075,ST. MICHAEL LRNG. CTR.-POTRERO,ARR,"32-B. Bagong Lote, (inside of Araneta","U. Village) Potrero, Malabon, M.M.", , ,
01-NA-000296,"CHRIST JEROSS CHRISTIAN ACADEMY, INC.",ARR,Phase 10A Pkg1 Blk 4 Lot6-11,"Bagong Silang, Caloocan City", , ,
01-NF-000045,CHRISTIAN ACADEMY OF MANILA,ARR,3041 Nagtahan St. ,"#3041 Nagtahan St., Manila", , ,
01-NI-000003,DAANGHARI ADVENTIST ELEM. SCH.,ARR,"516 Gov. A. Pascual Ave.,","Navotas, Metro Manila",SDA - NCR, ,SDA
01-NF-000316,ST. PIUS X PAROCHIAL SCHOOL(E/H),ARR,"7th St., cor Neptune St.,","Onyx Ave., Paco, Manila", ,Manila,MAPSA
01-NN-000128,COMMONWEALTH ADV. ELEM. SCHOOL,ARR,"1119 IBI Rd., Commonwealth","near Batasan Hills, Quezon City",SDA - NCR, ,SDA
01-NA-000302,GATE OF HEAVEN ACADEMY,ARR,"B-8 L-1 Phase I,","Senate Village, Caloocan City", , ,
01-NN-000506/01-NN-000507,NEW JERUSALEM SCHOOL (E/HS),ARR,"#37 D. Tuazon Ave.,",Quezon City, , ,
01-NF-000051,COL. DE STA. ROSA (E/HS),ARR,"Sto. Domingo St.,","Intramuros, Manila",AR,,
01-NN-000048,BENEDICTINE INTERNATIONAL SCHOOL,ARR,"(Fmrly Benedictine Abby)Manotoc Drive,","Capitol Hills, Diliman, Q.C.", , ,
01-NN-000017,BENEDICTINE INTERNATIONAL SCHOOL,ARR,"(Fmrly Benedictine Abby)Manotoc Drive,","Capitol Hills, Diliman, Q.C.",,,
01-NF-000241,PHIL. CHUNG HUA SCHOOL,ARR,"#3217 Reposo St., Old","Sta. Mesa, Manila", , ,
01-DD-000322,HILLTOP SDA ELEMENTARY SCHOOL,ARR,"Tartaria,","Silang, Cavite",SDA - NCR, ,SDA
01-CG-000109,NATIVIDAD ADVENTIST ELEM. SCH.,ARR,"Natividad,","Guagua, Pampanga",SDA - NCR, ,SDA
01-NF-000282,SCOULLA SORELLI FADILI (STA. CHIARA),ARR,"(Sta. Chiara Pre-sch)-23 Silencio St.,","Bry Santolan,Sta. Mesa, Mla (SM Ctrpoint", , ,
01-DA-000005,BALER ADVENTIST ELEM. SCHOOL,ARR,"Quezon St.,","Baler, Aurora",SDA - NCR, ,SDA
01-NF-000251,PHIL. SUK KUANG INSTITUTE,ARR,"1019 G. Masangkay St.,","Binondo, Manila", , ,
01-NF-000384,OUR LADY OF DIVINE GRACE SCHOOL DE MLA.,ARR,949/959 Basilion ST.,"Sampaloc, Manila",,,
01-NF-000037,CENTRAL METHODIST EDUC'L CENTER,ARR,Kalaw St.,"Taft Ave., Manila", , ,
01-ND-000065,S.M.E. CHILD DEV'T CENTER,ARR,"#92 M.H. del Pilar St.,","Tenejeros, Malabon, Metro Manila", , ,
01-NN-000456,MAYFIELD ACADEMY,ARR,(formerly:Mayfield Acad.)26 Malingap St.,"Teacher's Village, Quezon City", , ,
01-NF-000008,ALTURA N & K LEARNING CENTER,ARR,"#629 Altura St.,","Sta. Mesa, Manila", , ,
01-NF-000110,HOLY FAMILY PAROCHIAL SCHOOL,ARR,"Estrada St.,cor Chromlum St.,","San Andres Bukid, Manila", ,Manila,MAPSA
01-NN-000358,KARIS CHRISTIAN ACADEMY-BAESA,ARR,"Sitio Pajo, Mendez Street","Baesa, Quezon City", , ,
01-NF-000335,STARKIDS LEARNING CENTER,ARR,"507 Bulacan St.,","Gagalangin, Tondo, Manila", , ,
01-NF-000176,MANILA CHRISTIAN DAY SCHOOL,ARR,# 3975 R. Magsaysay Blvd.,"Sta. Mesa, Manila", , ,
01-NN-000287,HOLY ANGELS MONTESSORI SCHOOL,ARR,# 83 Legazpi Street,"Project 4, Quezon City", , ,
01-NF-000053,COLL. OF THE HOLY SPIRIT (HS),ARR,"163 Mendiola St.,","San Miguel, Manila",SSpS,,
01-DA-000010,CASIGURAN ADVENTIST ELEM. SCHOOL,ARR,Baler-Casiguran Rd. Poblacion,"Casiguran, Aurora", , ,SDA
01-NN-000739,ST. THERESE OF THE CHILD JESUS-PROJ. 4,ARR,# 64 Legazpi Street,"Project 4, Quezon City", , ,
01-NF-000252,PHIL. SUN YAT SEN SCHOOL,ARR,#938 Zacateros Street,"Sta. Cruz, Manila", , ,
01-NA-000313,OUR LADY OF PIAT ACADEMY OF CALOOCAN,ARR,,,,,
01-DD-000497,MAGALLANES ADVENTIST ELEM. SCH.,ARR,San Isidro,"Magallanes, Cavite",SDA - NCR, ,SDA
01-NA-000311,LA MARIAL  CHILD DEVELOPMENT CENTER,ARR,"6048 Area D. Camarin II, Brgy. 177",Caloocan City, , ,
01-NA-000324,MARTINEZ INSTITUTE OF BASIC EDUCATION,ARR,"198 A. Mabini St. Magpajo,",Caloocan City,,,
01-NA-000108/01-NA-000109,IMELDA SDA ELEMENTARY SCHOOL (PE/E),ARR,Tieremas Street,"East Bagong Bo., Kalookan City",SDA - NCR, ,SDA
01-ND-000090,"LEARNING JOURNEY CHILD GROWTH CENTER,INC",ARR,"23 Commercio St., Tugatog",Malabon City, , ,
01-CC-000031,BOCAUE ADVENTIST ELEM. SCHOOL,ARR,"P. Gomez St., Bagumbayan,","Bocaue, Bulacan",SDA - NCR, ,
01-NA-000259,ST. JOHN LOUISE BEGINNERS LRNG. CTR.,ARR,"Blk 1 L0t 123, Cabatuhan Rd.,","Deparo, Kalookan City", , ,
01-NA-000305,"RHEXANE ACADEMY, INC.",ARR,"PH. V A, Pkg1, BLK28, LT18 D.","Bagong Silang, Caloocan City", , ,
01-NA-000125,KALOOKAN EVANGELICAL SCHOOL,ARR,"47 P. Zamora St.,",Kalookan City, , ,
01-NA-000229,SALVATION ARMY - KALOOKAN,ARR,"Cor. Langaray St., C-3","Dagat-Dagatan Ave., Kalookan City", , ,
01-NA-000323,MOTHER TERESA PREPARATORY:AN ENGLISH SCH,ARR,"B4 Lot24 Jasmin Villa Magdalena 3,",Caloocan City,,,
01-NA-000123,KALOOKAN ADVENTIST ELEM. SCHOOL,ARR,"16 Chicago St.,","UE Hills Subd., Kalookan City", , ,SDA
01-NA-000322,CAMPBELL ACADEMY,ARR,"888 Park Avenue, Midway Subdivision.,",Caloocan City,,,
01-CB-000020,DINALUPIHAN ADVENTISTY ELEMENTATY SCHOOL,ARR,,,SDA - NCR, ,
01-ND-000008,BRIGHT BEGINNING CTR. FOR YOUNG CHILDREN,ARR,"4 Zinc St.,","Tugatog, Malabon, Metro Manila", , ,
01-NF-000095,GLORIA DEI CHRISTIAN SCHOOL,ARR,# 4461 Old Sta. Mesa Street,"Sta. Mesa, Manila", , ,
01-ND-000081,TUGATOG LEARNING CENTER,ARR,"Progreso St., Tugatog","Malabon, Metro Manila", , ,
01-NN-000876,PAIL AND SHOVEL INTEGRATED SCHOOL,ARR,,,,,
01-NF-000375,YOUNG RAC HIGH SCHOOL,ARR,4427 Old sta. Mesa,"4427 Old Sta. Mesa, Manila", , ,
01-CE-000071,SINIPIT ADVENTIST SCHOOL,ARR,"bRGY. Sinipit,","Cabiao, Nueva Ecija", , ,
01-CA-000004,ANGELES ADVENTIST ELEM. SCH.,ARR,"Manuel L. Quezon St.,","Brgy. C.M. Recto, Angeles City",SDA - NCR, ,SDA
01-CC-000293,MEYCAUAYAN ADVENTIST ELEM.SCH.,ARR,"Malhacan St.,","Meycauayan, Bulacan",SDA - NCR, ,SDA
01-CE-000006,CABIAO ADVENTIST ELEM. SCHOOL,ARR,"San Roque, Cabiao,",Nueva Ecija,SDA - NCR, ,SDA
01-DD-000934,SILANG ADVENTIST ELEMENTARY SCHOOL,ARR,"Tubuan,","Silang, Cavite", , ,SDA
01-CH-000107,TARLAC ADVENTIST ELEM. SCHOOL,ARR,"Lazatin Subd.,","Tarlac, Tarlac City",SDA - NCR, ,SDA
01-NA-000156,MANDEX TUTORIAL LEARNING CENTER,ARR,"3459 Purok 4, San Isidro Area D,","Camarin, Kalookan City", , ,
01-NF-000006,AIM CHRISTIAN LEARNING CENTER,ARR,"507 F.T. Dalupan St.,","Sampaloc, Manila", , ,
01-NF-000161,LITTLE LIGHT LEARNING CTR-STA. ANA,ARR,frmrly:Little Light Learning Center,"2981 F. Manalo St.Punta,Sta. Ana, Manila", , ,
01-NN-000590,QUEZON CITY SDA ELEMENTARY SCH,ARR,"99 Nicanor Ramirez St.,","Galas, Quezon City",SDA - NCR, ,SDA
01-CB-000087,TALINMUNDOK ADVENTIST ELEMENTARY SCHOOL,ARR,"Talimundoc,","Orani, Bataan", , , 
01-CC-000278,MALOLOS ADVENTIST ELEM. SCHOOL,ARR,3 Sabitan St. Santo Rosario ,"Malolos, Bulacan",SDA - NCR, ,SDA
01-NF-000264,RICHFIELD MONTESSORI,ARR,"3341 R. Magsaysay Blvd.,","Sta. Mesa, Manila", , ,
01-NN-000103,CHILDREN OF MARY IMMACULATE L.C.,ARR,"56 Simoun St.,","Sta. Mesa Heights, Quezon City", , ,
01-CC-000297,MEYSULAO ADVENTIST ELEM. SCHOOL,ARR,"Meysulao,","Calumpit, Bulacan",SDA - NCR, ,SDA
01-NN-000427,MANILA CENTER ADVENTIST SCH.-Q.C.,ARR,D. Tuazon Cor,"Quezon Ave., Quezon City",SDA - NCR, ,SDA
01-CE-000021,GAPAN ADVENTIST ELEMENTARY SCHOOL,ARR,,,SDA - NCR, , 
01-NA-000287,"BREA JAMES ACADEME, INC.",ARR,,, , ,
01-NA-000321,BURNING TORCH CHRISTIAN ACADEMY,ARR,"B10,Lot 38, Calacuchi St.",Caloocan City,,,
01-NF-000175,MANILA CENTRAL ADVENTIST ELEM. SCH.-MLA.,ARR,"2215-17 Severino Reyes St.,","Sta. Cruz, Manila",SDA - NCR,,SDA
01-NF-000382,CLG CHRISTIAN FAMILY LEARNING  CENTER,ARR,1868-A J. Fajardo St.,"Sampaloc, Manila", , ,
01-CD-000005,CABANATUAN ADVENTIST ELEM. SCHOOL,ARR,Bantug Norte,Cabanatuan City,SDA - NCR, ,SDA
01-NF-000094,GILDEL CHILD DEV'T CENTER,ARR,"2141 P. Varona St.,","Tondo, Manila", , ,
01-CC-000331,NORZAGARAY ADVENTIST ELEM. SCHOOL,ARR,P. dela Merced St. Bayumbong Poblacion,"Norzagaray, Bulacan",SDA - NCR, ,SDA
01-NF-000332,STA. MESA DIVINE FAITH ACADEMY,ARR,"3360 Lubiran St.,","Bacood, Sta. Mesa, Manila", , ,
01-ND-000015,CHRISTIAN ACADEMY OF MALABON,ARR,Blk 50 Area 1 E2 Maya-Maya St.,"Kaunlaran Village, Malabon City", , ,
01-DA-000011,DINALUNGAN ADV.MULTIGRADE SCH.,ARR,,"Dinalungan, Aurora", , ,SDA
01-NF-000270,SAMANTABHADRA INSTITUTE (E/HS),ARR,"1141 Batangas St., near","Abad Santos St., Tondo, Manila", , ,
01-NN-000643,SOBREPEÑA PRE-SCHOOL,ARR,"# 8 La Trinidad St., New Manila,",Q.C. (back of Trinity College Q.C.), , ,
01-NF-000361,"FIVE ""J"" LEARNING CENTER",ARR,,, , ,
01-NA-000273,ST. SEALTIEL LEARNING CENTER,ARR,"4 Purification St.,","Marcela, Kalookan City", , ,
01-CG-000172,STA. CATALINA ADVENTIST ELEM. SCHOOL,ARR,"Sta. Catalina,","San Luis, Pampanga",SDA - NCR, ,SDA
01-NA-000308,NBS TUTORIAL LEARNING CENTER,ARR,,, , ,
01-NF-000390,CARITAS FAMILY COLLEGE,ARR,1452 Lacson St. Manila,(near SM San Lazaro),,,
01-NF-000249/01-NF-000250,PHIL. SCHOLASTIC ACADEMY (E/HS),ARR,"# 1050 Castillejos St.,","Quiapo, Manila", , ,
01-CF-000017,OLONGAPO ADVENTIST ELEM. SCHOOL,ARR,"#14 26th St.,","Olongapo City, Zambales",SDA - NCR, ,SDA
01-DM-000023,DILASAG ADVENTIST ELEM. SCH.,ARR,"Dilasag,","Aurora, Quezon",SDA - NCR, ,SDA
01-NA-000277,STO. NINO PARISH L.C.-KALOOKAN,ARR,"Phase I, Package I, Sto. Nino Church,","Bagong Silang, Kalookan City", , ,
01-NF-000340,SYSTEM TECHNOLOGY INST.(P)-STA. MESA,ARR,"Magsaysay Blvd.,","cor. Santol St., Sta. Mesa, Manila", ,,
01-NA-000192,OHANA CHILD LEARNING CENTER,ARR,"45 Dagat-Dagatan Ave.,",Caloocan City, , ,
01-NA-000079,GRACE LEARNING CENTER-10TH AVE,ARR,"350 East Baltazar Ext.,","10th Avenue, Kalookan City", , ,
01-NF-000261,REGGIO DE SAN JOSE LEARNING CENTER,ARR,"2215 Road 4, Fabi Estate,","Sta. Ana, Manila", , ,
01-NA-000129,KIDS TREASURE LEARNING CENTER,ARR,"1619 cor. 11th Ave.,","Gracepark, Kalookan City", , ,
01-NF-000381,ST. EUPHRASIA LEARNING CENTER,ARR,2nd St. Isip Bldg. Kabie Estate Subd.,"Paco, Manila", , ,
01-NF-000121,IEMELIF LEARNING CENTER-MANILA,ARR,"3659 R. Magsaysay Blvd.,","Sta. Mesa, Manila", , ,
01-NF-000383,RURAL IMPROVEMENT CLUB CHILDREN CENTER,ARR,,, , ,
01-NF-000385,ALEXINE LEARNING CENTER,ARR,,, , , 
01-NA-000126,KARIS CHRISTIAN ACADEMY,ARR,"Phase II, Package I, Block 5","Bagong Silang, Kalookan City", , ,
01-NN-000098,CHILD BASIC STUDY CENTER,ARR,"#348 P. Tuazon Blvd.,","Project 4, Quezon City",,,
01-NA-000066,FUTURE ONES LEARNING CENTER,ARR,"116-A P. Zamora St.,",Caloocan City, , ,
01-NF-000388,BRIGHT COMPUTER LEARNING CENTER,ARR,"2514 AJ.Posadas St.,Punta,","Sta. Ana, Manila",,,
01-NF-000112,HOLY ROSARY KIDDIE PRE-SCHOOL,ARR,,,,,
01-BC-000004,ADVENTIST UNIV. OF THE PHILS.(E),ARR,"(Formerly Phil. Union College), Mabini","Alicia, Isabela", , , 
01-NP-000138,INTEGRATED MONTESSORI SCH. FORT BONI,BAU,"L19 Blk 86, Bayani Rd.,","Fort Bonifacio, Taguig, M.M.", , ,
01-NL-000002,"ADT MONTESSORI SCHOOL, INC.",BAU,"#499 Capinpin St.,","Manggahan, Pasig City", , ,PAPRISA
01-NN-000589,QUEZON CITY SCI. HS-MULTI-PURPOSE COOP.,BAU,"Golden Acres Rd., cor Misamis St.,","Bago Bantay, Quezon City", , ,
01-NN-000124,COL. DE SAN BARTOLOME DE NOVA,BAU,Km. 16 Quirino Hiway,"San Bartolome, Novaliches, QC", ,Novaliches,MAPSA
01-NN-000206,FALCON LEARNING CENTER,BAU,"Dahlia Ave., Fairview Park Subd.,","West Fairview, Quezon City", , ,
01-NN-000789,THE SEED MONTESSORI SCHOOL,BAU,"#4 Samonte St., Capitol District,","Diliman, Quezon City", , ,
01-NC-000060,PINESLIGHT SCHOOL OF MAKATI,BAU,"8229 Sgt. Yabut cor Dapitan st.,","Guadalupe Nuevo, Makati City", , ,
01-NN-000697,ST. JOHN OF BEVERLEY,BAU,"749 Quirino Hiway, San Bartolome,","Novaliches, Quezon City", , ,
01-NL-000032,ESCUELA DE STO. ROSARIO,BAU,"97 Dr. Sixto Antonio Ave.,","Rosario, Pasig City", , ,PAPRISA
01-NN-000171,DIVINE GRACE SCHOOL-NOVA.,BAU,"Ilang-Ilang St., Maligaya Park Subd.,","Novaliches, Quezon City", , ,
01-NE-000018,GOOD SHEPHERED CHRISTIAN SCH.,BAU,"#71 I. Lopez St.,",Mandaluyong City, , ,
01-NL-000085,PASIG CHRISTIAN ACADEMY,BAU,#198 D. Antonio Avenue,"Caniogan, Pasig City", , ,PAPRISA
01-NN-000081,CAPITOL HILLS CHRISTIAN SCHOOL,BAU,"Filinvest II Rd.,","Batasan Hills, Quezon City", , ,
